Дата	Дебет	Кредит	Остаток	Контрагент	Счет	Индустрия	Филиал
03.05.2015	46600,00	51311,00	-4711,00	Neo	0001_USD_КРЕД_13200	Промышленность	Санкт-Петербургский филиал
03.05.2015	56100,00	45973,00	10127,00	Neo	0001_USD_КРЕД_132	Промышленность	Санкт-Петербургский филиал
03.05.2015	28000,00	26932,00	1068,00	Neo	0002_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
03.05.2015	98100,00	112262,00	-14162,00	Neo	0001_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
03.05.2015	81500,00	87909,00	-6409,00	Neo	0001_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
03.05.2015	99800,00	104956,00	-5156,00	Neo	0002_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
03.05.2015	3000,00	2851,00	149,00	Neo	0001_USD_КРЕД_700	Промышленность	Санкт-Петербургский филиал
03.05.2015	86500,00	75410,00	11090,00	Neo	0001_USD_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
03.05.2015	57800,00	52864,00	4936,00	Neo	0003_RUR_КРЕД_700	Промышленность	Санкт-Петербургский филиал
03.05.2015	42000,00	42884,00	-884,00	Neo	0003_RUR_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
03.05.2015	15300,00	15892,00	-592,00	Salmon ООО	0001_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
03.05.2015	46000,00	53609,00	-7609,00	Salmon ООО	0002_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
03.05.2015	74100,00	76267,00	-2167,00	Salmon ООО	0002_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
03.05.2015	37800,00	30454,00	7346,00	Salmon ООО	0001_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
03.05.2015	3400,00	3998,00	-598,00	Salmon ООО	0002_USD_КРЕД_600	Промышленность	Санкт-Петербургский филиал
03.05.2015	24700,00	20469,00	4231,00	Salmon ООО	0003_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
03.05.2015	36800,00	43554,00	-6754,00	Salmon ООО	0001_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
03.05.2015	89200,00	83966,00	5234,00	Salmon ООО	0001_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
03.05.2015	8800,00	9482,00	-682,00	Salmon ООО	0004_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
03.05.2015	96400,00	96165,00	235,00	Salmon ООО	0001_RUR_КРЕД_6801/2	Промышленность	Санкт-Петербургский филиал
03.05.2015	45700,00	40343,00	5357,00	Salmon ООО	0001_RUR_КРЕД_6801/3	Промышленность	Санкт-Петербургский филиал
03.05.2015	64800,00	67887,00	-3087,00	Salmon ООО	0001_RUR_КРЕД_6801/1	Промышленность	Санкт-Петербургский филиал
03.05.2015	21100,00	22347,00	-1247,00	Salmon ООО	0001_RUR_КРЕД_101	Промышленность	Санкт-Петербургский филиал
03.05.2015	36600,00	37339,00	-739,00	Salmon ООО	0001_RUR_КРЕД_6801/4	Промышленность	Санкт-Петербургский филиал
03.05.2015	63200,00	66560,00	-3360,00	Абасков ЗАО	0002_RUR_КРЕД_777	Промышленность	Санкт-Петербургский филиал
03.05.2015	23600,00	20848,00	2752,00	Абасков ЗАО	0001_USD_КРЕД_777	Промышленность	Санкт-Петербургский филиал
03.05.2015	50700,00	55815,00	-5115,00	Абасков ЗАО	0003_RUR_КРЕД_888	Промышленность	Санкт-Петербургский филиал
03.05.2015	2900,00	2525,00	375,00	Абасков ЗАО	0004_RUR_КРЕД_999	Промышленность	Санкт-Петербургский филиал
03.05.2015	36000,00	32749,00	3251,00	Абасков ЗАО	0001_USD_КРЕД_999	Промышленность	Санкт-Петербургский филиал
03.05.2015	6400,00	6415,00	-15,00	Абасков ЗАО	0001_USD_КРЕД_7301/1	Промышленность	Санкт-Петербургский филиал
03.05.2015	45000,00	45009,00	-9,00	Авантера	0001_USD_КРЕД_17000	Торговля	Санкт-Петербургский филиал
03.05.2015	94100,00	96842,00	-2742,00	Азилинин ООО	0001_RUR_КРЕД_16400	Торговля	Санкт-Петербургский филиал
03.05.2015	37100,00	32640,00	4460,00	Арктур ЗАО	0001_USD_КРЕД_15900/1	Торговля	Санкт-Петербургский филиал
03.05.2015	75100,00	72649,00	2451,00	Вега	0001_USD_КРЕД_901/1	Торговля	Екатеринбургский филиал
03.05.2015	63600,00	55716,00	7884,00	Веритак ООО	0001_USD_КРЕД_19700	Торговля	Екатеринбургский филиал
03.05.2015	23300,00	25224,00	-1924,00	Виалди	0001_USD_КРЕД_8101/1	Торговля	Московский филиал
03.05.2015	1900,00	1827,00	73,00	Голд Вест Рейн	0001_USD_КРЕД_2901	Торговля	Московский филиал
03.05.2015	41100,00	45826,00	-4726,00	Гончаров&Со	0001_RUR_КРЕД_3601/1	Торговля	Московский филиал
03.05.2015	54900,00	51445,00	3455,00	Дамид ООО	0001_USD_КРЕД_17601	Торговля	Московский филиал
03.05.2015	48800,00	40721,00	8079,00	Династия ЗАО	0001_USD_КРЕД_14301/1	Торговля	Московский филиал
03.05.2015	63900,00	54590,00	9310,00	Дружба ЗАО	0001_USD_КРЕД_15600/1	Торговля	Московский филиал
03.05.2015	66800,00	79358,00	-12558,00	Дружба ЗАО	0001_USD_КРЕД_3901/1	Торговля	Московский филиал
03.05.2015	64100,00	67285,00	-3185,00	ЗАО Бородин	0001_USD_КРЕД_2501/1	Торговля	Московский филиал
03.05.2015	59200,00	54849,00	4351,00	ЗАО Монолит	0001_USD_КРЕД_19001	Торговля	Московский филиал
03.05.2015	34200,00	30212,00	3988,00	ЗАО Монолит	0001_USD_КРЕД_3001	Торговля	Московский филиал
03.05.2015	54800,00	50521,00	4279,00	ЗАО Рыболов	0001_USD_КРЕД_1401	Торговля	Московский филиал
