Дата	Раздел	Подраздел	Направление	Код направления	План	Факт
31.03.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	45936,50	47997,50
28.02.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-53651,25	-49307,25
28.02.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-45789,92	-45976,92
31.03.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-72247,03	-73807,03
31.03.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-35028,98	-33444,98
31.01.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	41961,08	45271,08
31.01.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	20901,26	22991,26
31.01.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-10525,18	-10630,18
28.02.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	4018,91	4100,91
28.02.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	90856,62	89924,62
31.03.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-12731,36	-13817,36
31.03.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-57867,41	-61892,41
28.02.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-12651,60	-11872,60
28.02.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-49917,09	-52651,09
31.03.2015	ПАССИВЫ	Пассивы до востребования	Расчетно-кассовое обслуживание юр.лиц	1010	83792,36	81860,36
31.01.2015	АКТИВЫ	Резервы (ФОР)	Расчетно-кассовое обслуживание юр.лиц	1010	-24727,60	-26015,60
31.01.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-25577,09	-27004,09
31.01.2015	АКТИВЫ	Денежные средства и драгметаллы	Расчетно-кассовое обслуживание юр.лиц	1010	-31085,29	-29671,29
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-5003,20	-5301,20
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-16262,64	-14856,64
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-45697,93	-49605,93
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-66098,03	-62971,03
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-68739,35	-62678,35
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-33305,35	-34691,35
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-38811,70	-40986,70
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-66639,66	-72122,66
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-20497,09	-19978,09
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-12439,02	-12326,02
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-3168,27	-2934,27
31.01.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-3476,86	-3742,86
31.03.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	85103,13	82947,13
31.03.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	11543,02	11984,02
28.02.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-57933,85	-52834,85
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-75756,76	-81227,76
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-64455,64	-60910,64
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-30983,36	-29981,36
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-51189,70	-50263,70
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-79563,62	-75824,62
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-67225,60	-61838,60
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-19269,96	-18540,96
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-18955,54	-19582,54
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-30286,33	-31219,33
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-29806,88	-28914,88
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-60280,31	-65071,31
31.03.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-17615,66	-18694,66
28.02.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-39715,00	-41701,00
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-60301,22	-65603,22
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-75182,03	-79936,03
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-15546,86	-15563,86
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-52436,08	-49168,08
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-31631,72	-29314,72
28.02.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	60069,64	57453,64
28.02.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	94312,08	90736,08
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-32014,77	-29816,77
31.01.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-36956,05	-38667,05
31.01.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-9491,91	-9194,91
31.03.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-11550,92	-12561,92
31.03.2015	АКТИВЫ	Остатки на счетах НОСТРО	Межбанковские кредиты выдан и депозиты предоставл	1020	-18538,47	-19806,47
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-43013,49	-39467,49
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-59817,34	-57832,34
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-39755,92	-39046,92
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-59654,09	-64663,09
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-31475,27	-31579,27
28.02.2015	АКТИВЫ	Кредиты и депозиты банкам	Межбанковские кредиты выдан и депозиты предоставл	1020	-62661,99	-64210,99
31.01.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	66534,34	65261,34
31.01.2015	ПАССИВЫ	Резервы	Межбанковские кредиты выдан и депозиты предоставл	1020	94363,65	94357,65
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-74694,79	-75480,79
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-39628,44	-38498,44
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-33286,68	-33439,68
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-68483,49	-62925,49
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-75402,87	-69345,87
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-10815,45	-11070,45
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-74460,23	-78351,23
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-1982,01	-1788,01
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-42184,89	-40897,89
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-31506,47	-33144,47
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26247,29	-27482,29
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-17766,96	-16559,96
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26740,06	-28903,06
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-69109,14	-68635,14
