Дата	Раздел	Подраздел	Статья	Баланс
31.01.2013	Актив	Оборотные средства	Касса	80707,00
31.01.2013	Актив	Оборотные средства	Дебиторская задолженность	10340,00
31.01.2013	Актив	Оборотные средства	Материально-производственные запасы	37422,00
31.01.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	40470,00
31.01.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	9757,00
31.01.2013	Актив	Прочие активы	Имущество и оборудование	25910,00
31.01.2013	Актив	Прочие активы	Отсроченный налог на прибыль	12517,00
31.01.2013	Актив	Прочие активы	Прочие необоротные фонды	17154,00
31.01.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-49453,00
31.01.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-78552,00
31.01.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-58634,00
31.01.2013	Пассив	Прочие обязательства	Акционерный капитал	-47638,00
28.02.2013	Актив	Оборотные средства	Касса	67263,00
28.02.2013	Актив	Оборотные средства	Дебиторская задолженность	7172,00
28.02.2013	Актив	Оборотные средства	Материально-производственные запасы	33288,00
28.02.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	53695,00
28.02.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	79756,00
28.02.2013	Актив	Прочие активы	Имущество и оборудование	62007,00
28.02.2013	Актив	Прочие активы	Отсроченный налог на прибыль	58465,00
28.02.2013	Актив	Прочие активы	Прочие необоротные фонды	38811,00
28.02.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-160552,00
28.02.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-85290,00
28.02.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-78884,00
28.02.2013	Пассив	Прочие обязательства	Акционерный капитал	-75731,00
31.03.2013	Актив	Оборотные средства	Касса	62354,00
31.03.2013	Актив	Оборотные средства	Дебиторская задолженность	54625,00
31.03.2013	Актив	Оборотные средства	Материально-производственные запасы	13548,00
31.03.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	46979,00
31.03.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	40053,00
31.03.2013	Актив	Прочие активы	Имущество и оборудование	43077,00
31.03.2013	Актив	Прочие активы	Отсроченный налог на прибыль	12758,00
31.03.2013	Актив	Прочие активы	Прочие необоротные фонды	2983,00
31.03.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-33400,00
31.03.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-79068,00
31.03.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-79601,00
31.03.2013	Пассив	Прочие обязательства	Акционерный капитал	-84308,00
30.04.2013	Актив	Оборотные средства	Касса	68504,00
30.04.2013	Актив	Оборотные средства	Дебиторская задолженность	37657,00
30.04.2013	Актив	Оборотные средства	Материально-производственные запасы	29377,00
30.04.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	39779,00
30.04.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	7652,00
30.04.2013	Актив	Прочие активы	Имущество и оборудование	28296,00
30.04.2013	Актив	Прочие активы	Отсроченный налог на прибыль	32048,00
30.04.2013	Актив	Прочие активы	Прочие необоротные фонды	40270,00
30.04.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-92862,00
30.04.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-63753,00
30.04.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-51641,00
30.04.2013	Пассив	Прочие обязательства	Акционерный капитал	-75327,00
31.05.2013	Актив	Оборотные средства	Касса	70113,00
31.05.2013	Актив	Оборотные средства	Дебиторская задолженность	41987,00
31.05.2013	Актив	Оборотные средства	Материально-производственные запасы	33642,00
31.05.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	26427,00
31.05.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	34070,00
31.05.2013	Актив	Прочие активы	Имущество и оборудование	11185,00
31.05.2013	Актив	Прочие активы	Отсроченный налог на прибыль	37170,00
31.05.2013	Актив	Прочие активы	Прочие необоротные фонды	45622,00
31.05.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-80676,00
31.05.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-67099,00
31.05.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-71760,00
31.05.2013	Пассив	Прочие обязательства	Акционерный капитал	-80681,00
30.06.2013	Актив	Оборотные средства	Касса	53717,00
30.06.2013	Актив	Оборотные средства	Дебиторская задолженность	36573,00
30.06.2013	Актив	Оборотные средства	Материально-производственные запасы	15965,00
30.06.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	24101,00
30.06.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	4265,00
30.06.2013	Актив	Прочие активы	Имущество и оборудование	24985,00
30.06.2013	Актив	Прочие активы	Отсроченный налог на прибыль	6583,00
30.06.2013	Актив	Прочие активы	Прочие необоротные фонды	59206,00
30.06.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-65270,00
30.06.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-43398,00
30.06.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-42804,00
30.06.2013	Пассив	Прочие обязательства	Акционерный капитал	-73923,00
31.07.2013	Актив	Оборотные средства	Касса	57413,00
31.07.2013	Актив	Оборотные средства	Дебиторская задолженность	45403,00
31.07.2013	Актив	Оборотные средства	Материально-производственные запасы	17896,00
31.07.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	49138,00
31.07.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	45097,00
31.07.2013	Актив	Прочие активы	Имущество и оборудование	23440,00
31.07.2013	Актив	Прочие активы	Отсроченный налог на прибыль	10100,00
31.07.2013	Актив	Прочие активы	Прочие необоротные фонды	6989,00
31.07.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-64872,00
31.07.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-85509,00
31.07.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-59538,00
31.07.2013	Пассив	Прочие обязательства	Акционерный капитал	-45557,00
31.08.2013	Актив	Оборотные средства	Касса	50372,00
31.08.2013	Актив	Оборотные средства	Дебиторская задолженность	14959,00
31.08.2013	Актив	Оборотные средства	Материально-производственные запасы	37405,00
31.08.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	41419,00
31.08.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	10344,00
31.08.2013	Актив	Прочие активы	Имущество и оборудование	38484,00
31.08.2013	Актив	Прочие активы	Отсроченный налог на прибыль	28449,00
31.08.2013	Актив	Прочие активы	Прочие необоротные фонды	42639,00
31.08.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-30113,00
31.08.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-91715,00
31.08.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-75242,00
31.08.2013	Пассив	Прочие обязательства	Акционерный капитал	-67001,00
30.09.2013	Актив	Оборотные средства	Касса	67542,00
30.09.2013	Актив	Оборотные средства	Дебиторская задолженность	33774,00
30.09.2013	Актив	Оборотные средства	Материально-производственные запасы	43781,00
30.09.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	5430,00
30.09.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	53050,00
30.09.2013	Актив	Прочие активы	Имущество и оборудование	48603,00
30.09.2013	Актив	Прочие активы	Отсроченный налог на прибыль	45950,00
30.09.2013	Актив	Прочие активы	Прочие необоротные фонды	36113,00
30.09.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-92584,00
30.09.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-89890,00
30.09.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-67930,00
30.09.2013	Пассив	Прочие обязательства	Акционерный капитал	-83839,00
31.10.2013	Актив	Оборотные средства	Касса	71422,00
31.10.2013	Актив	Оборотные средства	Дебиторская задолженность	10916,00
31.10.2013	Актив	Оборотные средства	Материально-производственные запасы	16009,00
31.10.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	76073,00
31.10.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	1257,00
31.10.2013	Актив	Прочие активы	Имущество и оборудование	45418,00
31.10.2013	Актив	Прочие активы	Отсроченный налог на прибыль	33952,00
31.10.2013	Актив	Прочие активы	Прочие необоротные фонды	6769,00
31.10.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-60594,00
31.10.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-70272,00
31.10.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-46417,00
31.10.2013	Пассив	Прочие обязательства	Акционерный капитал	-84533,00
30.11.2013	Актив	Оборотные средства	Касса	64884,00
30.11.2013	Актив	Оборотные средства	Дебиторская задолженность	4401,00
30.11.2013	Актив	Оборотные средства	Материально-производственные запасы	67731,00
30.11.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	17197,00
30.11.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	10896,00
30.11.2013	Актив	Прочие активы	Имущество и оборудование	55313,00
30.11.2013	Актив	Прочие активы	Отсроченный налог на прибыль	31248,00
30.11.2013	Актив	Прочие активы	Прочие необоротные фонды	46403,00
30.11.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-63652,00
30.11.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-72931,00
30.11.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-79566,00
30.11.2013	Пассив	Прочие обязательства	Акционерный капитал	-81924,00
31.12.2013	Актив	Оборотные средства	Касса	57938,00
31.12.2013	Актив	Оборотные средства	Дебиторская задолженность	9572,00
31.12.2013	Актив	Оборотные средства	Материально-производственные запасы	50389,00
31.12.2013	Актив	Оборотные средства	Уплаченные ранее расходы и другое	44550,00
31.12.2013	Актив	Оборотные средства	Отсроченный налог на прибыль	27600,00
31.12.2013	Актив	Прочие активы	Имущество и оборудование	54485,00
31.12.2013	Актив	Прочие активы	Отсроченный налог на прибыль	8626,00
31.12.2013	Актив	Прочие активы	Прочие необоротные фонды	6895,00
31.12.2013	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-36739,00
31.12.2013	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-86552,00
31.12.2013	Пассив	Прочие обязательства	Долгосрочная задолженность	-77902,00
31.12.2013	Пассив	Прочие обязательства	Акционерный капитал	-58862,00
31.01.2014	Актив	Оборотные средства	Касса	49419,00
31.01.2014	Актив	Оборотные средства	Дебиторская задолженность	44287,00
31.01.2014	Актив	Оборотные средства	Материально-производственные запасы	35566,00
31.01.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	1760,00
31.01.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	22507,00
31.01.2014	Актив	Прочие активы	Имущество и оборудование	29314,00
31.01.2014	Актив	Прочие активы	Отсроченный налог на прибыль	32574,00
31.01.2014	Актив	Прочие активы	Прочие необоротные фонды	30649,00
31.01.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-67666,00
31.01.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-77799,00
31.01.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-36556,00
31.01.2014	Пассив	Прочие обязательства	Акционерный капитал	-64055,00
28.02.2014	Актив	Оборотные средства	Касса	63877,00
28.02.2014	Актив	Оборотные средства	Дебиторская задолженность	23741,00
28.02.2014	Актив	Оборотные средства	Материально-производственные запасы	21765,00
28.02.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	32984,00
28.02.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	48138,00
28.02.2014	Актив	Прочие активы	Имущество и оборудование	39607,00
28.02.2014	Актив	Прочие активы	Отсроченный налог на прибыль	12491,00
28.02.2014	Актив	Прочие активы	Прочие необоротные фонды	20965,00
28.02.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-78519,00
28.02.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-70220,00
28.02.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-60039,00
