Возраст	Город	Дата	Кол-во работающих	Образование	Профессия	Регион	Филиал
30	Москва	1.10.16	1,00	Среднее-специальное	Бухгалтер	Центральный	Главный
25	Москва	1.10.16	1,00	Среднее-специальное	Старший менеджер	Центральный	Главный
23	Москва	1.10.16	1,00	Среднее-специальное	Менеджер	Центральный	Главный
25	Москва	1.10.16	1,00	Среднее-специальное	Менеджер	Центральный	Главный
24	Москва	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Центральный	Главный
28	Москва	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Центральный	Главный
30	Москва	1.10.16	1,00	Среднее-специальное	Кассир	Центральный	Главный
31	Москва	1.10.16	1,00	Среднее-специальное	Кассир	Центральный	Главный
22	Москва	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Центральный	Главный
19	Москва	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Центральный	Главный
18	Москва	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Центральный	Главный
27	Москва	1.10.16	1,00	Среднее-специальное	операционист	Центральный	Главный
24	Москва	1.10.16	1,00	Среднее-специальное	экономист	Центральный	Главный
32	Москва	1.10.16	1,00	Среднее-специальное	экономист	Центральный	Главный
41	Москва	1.10.16	1,00	Среднее-специальное	экономист	Центральный	Главный
22	Москва	1.10.16	1,00	Среднее-специальное	трейдер	Центральный	Главный
27	Москва	1.10.16	1,00	Среднее-специальное	трейдер	Центральный	Главный
25	Москва	1.10.16	1,00	Среднее-специальное	Ситстемный администратор	Центральный	Главный
33	Пермь	1.10.16	1,00	Среднее-специальное	Бухгалтер	Приволжский	Пермский
19	Пермь	1.10.16	1,00	Среднее-специальное	Менеджер	Приволжский	Пермский
41	Пермь	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Приволжский	Пермский
24	Пермь	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Приволжский	Пермский
39	Пермь	1.10.16	1,00	Среднее-специальное	Кассир	Приволжский	Пермский
26	Пермь	1.10.16	1,00	Среднее-специальное	Кассир	Приволжский	Пермский
36	Пермь	1.10.16	1,00	Среднее-специальное	Кассир	Приволжский	Пермский
24	Пермь	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Пермский
21	Пермь	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Пермский
26	Пермь	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Пермский
29	Пермь	1.10.16	1,00	Среднее-специальное	операционист	Приволжский	Пермский
27	Пермь	1.10.16	1,00	Среднее-специальное	экономист	Приволжский	Пермский
28	Пермь	1.10.16	1,00	Среднее-специальное	экономист	Приволжский	Пермский
35	Пермь	1.10.16	1,00	Среднее-специальное	трейдер	Приволжский	Пермский
29	Пермь	1.10.16	1,00	Среднее-специальное	трейдер	Приволжский	Пермский
37	Казань	1.10.16	1,00	Среднее-специальное	Бухгалтер	Приволжский	Казанский
30	Казань	1.10.16	1,00	Среднее-специальное	Старший менеджер	Приволжский	Казанский
19	Казань	1.10.16	1,00	Среднее-специальное	Менеджер	Приволжский	Казанский
