Сумма кредита	Срок кредита	Дата кредитования	Цель кредитования	Возраст	Пол	Образование	Квартира	Машина	Срок эксплуатации машины	Загородный дом	Гараж	Должность	Срок работы на предприятии	Срок проживания в регионе	Давать кредит
7000	6	01.01.03	Иное	37	Жен	специальное	Нет	отечественная	1	Да	Да	неруководящая	4	22	Да
7500	6	01.01.03	Иное	38	Муж	среднее	Да	импортная	2	Да	Нет	руководящая	3	12	Да
14500	12	01.01.03	Покупка товара	60	Муж	высшее	Да	Нет автомобиля	4	Нет	Нет	неруководящая	4	30	Нет
15000	6	01.01.03	Покупка товара	28	Муж	специальное	Да	отечественная	3	Нет	Нет	неруководящая	4	21	Да
32000	12	01.01.03	Иное	59	Жен	специальное	Нет	отечественная	7	Да	Да	руководящая	2	29	Да
11500	6	01.01.03	Турпоездки, развлечения и т.п.	25	Жен	специальное	Нет	отечественная	2	Да	Нет	неруководящая	4	9	Да
5000	6	01.01.03	Покупка и ремонт недвижимости	57	Муж	специальное	Да	отечественная	4	Нет	Да	неруководящая	4	34	Да
61500	30	01.01.03	Покупка товара	29	Муж	высшее	Да	Нет автомобиля	3	Нет	Да	неруководящая	4	18	Нет
13500	12	01.01.03	Оплата услуг (мед., юрид. и т.п.)	37	Муж	специальное	Да	отечественная	6	Да	Нет	руководящая	3	28	Нет
25000	18	01.01.03	Покупка товара	36	Муж	специальное	Нет	Нет автомобиля	5	Нет	Нет	руководящая	3	21	Нет
25500	24	01.01.03	Покупка товара	68	Муж	высшее	Да	отечественная	5	Нет	Да	неруководящая	4	30	Нет
9500	6	01.01.03	Покупка товара	20	Жен	высшее	Нет	импортная	7	Нет	Да	неруководящая	3	14	Да
53000	24	01.01.03	Иное	30	Жен	специальное	Да	отечественная	6	Нет	Нет	неруководящая	5	21	Нет
27500	18	02.01.03	Покупка товара	22	Жен	высшее	Нет	отечественная	14	Да	Нет	неруководящая	5	12	Да
4000	6	02.01.03	Оплата услуг (мед., юрид. и т.п.)	33	Муж	специальное	Да	отечественная	3	Нет	Да	неруководящая	3	26	Нет
40500	24	02.01.03	Покупка и ремонт недвижимости	34	Жен	специальное	Да	отечественная	7	Да	Нет	неруководящая	3	14	Нет
51500	36	02.01.03	Покупка и ремонт недвижимости	25	Муж	высшее	Да	Нет автомобиля	4	Нет	Да	неруководящая	4	7	Нет
7000	6	02.01.03	Оплата услуг (мед., юрид. и т.п.)	40	Муж	специальное	Нет	отечественная	7	Нет	Нет	руководящая	4	23	Да
8500	6	02.01.03	Турпоездки, развлечения и т.п.	27	Муж	специальное	Да	отечественная	10	Нет	Да	неруководящая	3	20	Да
23500	12	02.01.03	Иное	22	Муж	специальное	Нет	отечественная	14	Нет	Нет	руководящая	3	18	Да
16500	12	02.01.03	Покупка товара	23	Муж	специальное	Да	отечественная	2	Нет	Да	руководящая	4	17	Да
46500	36	02.01.03	Покупка товара	19	Жен	специальное	Да	отечественная	7	Да	Да	неруководящая	4	9	Нет
58000	48	02.01.03	Покупка и ремонт недвижимости	37	Муж	высшее	Нет	отечественная	1	Да	Да	неруководящая	1	14	Нет
58500	42	02.01.03	Покупка товара	23	Жен	высшее	Да	отечественная	2	Нет	Да	руководящая	3	17	Нет
20500	12	02.01.03	Покупка товара	60	Жен	среднее	Да	отечественная	3	Нет	Да	неруководящая	5	21	Да
3500	6	02.01.03	Покупка и ремонт недвижимости	56	Муж	среднее	Нет	импортная	5	Нет	Нет	руководящая	3	23	Нет
27500	12	03.01.03	Покупка и ремонт недвижимости	23	Жен	специальное	Нет	импортная	4	Да	Нет	неруководящая	4	14	Нет
14000	12	03.01.03	Покупка товара	46	Жен	высшее	Нет	отечественная	2	Нет	Да	неруководящая	2	22	Нет
13000	12	03.01.03	Покупка и ремонт недвижимости	21	Муж	высшее	Нет	отечественная	3	Нет	Да	руководящая	4	5	Нет
18500	6	03.01.03	Иное	53	Муж	специальное	Да	импортная	5	Нет	Да	неруководящая	3	35	Да
55000	30	03.01.03	Покупка и ремонт недвижимости	33	Муж	высшее	Да	импортная	9	Нет	Нет	неруководящая	2	12	Нет
27000	18	03.01.03	Иное	52	Жен	высшее	Да	отечественная	6	Нет	Да	руководящая	2	24	Нет
17500	6	03.01.03	Покупка товара	20	Жен	высшее	Нет	импортная	6	Нет	Нет	руководящая	4	7	Да
11500	6	03.01.03	Покупка товара	23	Жен	специальное	Да	импортная	9	Да	Да	неруководящая	5	9	Да
17000	12	03.01.03	Покупка товара	22	Муж	среднее	Да	Нет автомобиля	6	Нет	Да	руководящая	2	3	Да
8000	6	03.01.03	Покупка товара	44	Муж	высшее	Да	Нет автомобиля	5	Нет	Да	неруководящая	3	21	Да
10500	6	03.01.03	Покупка товара	32	Жен	специальное	Да	импортная	10	Да	Нет	неруководящая	3	13	Да
3500	6	03.01.03	Покупка товара	34	Жен	высшее	Да	Нет автомобиля	3	Нет	Нет	неруководящая	3	16	Да
19500	12	03.01.03	Иное	25	Жен	высшее	Да	отечественная	4	Нет	Нет	неруководящая	4	10	Да
20000	18	04.01.03	Покупка товара	41	Муж	специальное	Да	отечественная	1	Да	Нет	неруководящая	3	24	Нет
34500	18	04.01.03	Иное	43	Муж	среднее	Да	отечественная	7	Нет	Нет	неруководящая	3	25	Нет
8500	6	04.01.03	Иное	21	Муж	специальное	Да	отечественная	5	Да	Да	неруководящая	3	14	Да
20500	18	04.01.03	Оплата услуг (мед., юрид. и т.п.)	35	Жен	высшее	Нет	отечественная	5	Да	Да	неруководящая	4	29	Да
7000	6	04.01.03	Иное	25	Жен	среднее	Да	отечественная	2	Да	Да	неруководящая	3	22	Да
15500	6	04.01.03	Турпоездки, развлечения и т.п.	29	Жен	высшее	Нет	Нет автомобиля	4	Нет	Нет	неруководящая	3	11	Да
25000	12	04.01.03	Покупка и ремонт недвижимости	54	Муж	специальное	Да	отечественная	1	Да	Да	неруководящая	2	32	Да
61500	36	04.01.03	Покупка товара	22	Жен	специальное	Да	отечественная	2	Нет	Нет	неруководящая	4	14	Нет
43500	12	04.01.03	Иное	41	Муж	высшее	Да	отечественная	3	Нет	Нет	неруководящая	3	14	Да
69500	36	04.01.03	Покупка и ремонт недвижимости	63	Муж	специальное	Да	импортная	4	Да	Да	неруководящая	2	33	Нет
42000	18	04.01.03	Иное	28	Жен	специальное	Да	отечественная	3	Нет	Нет	неруководящая	3	14	Нет
25000	12	04.01.03	Оплата услуг (мед., юрид. и т.п.)	24	Жен	высшее	Да	отечественная	4	Нет	Да	руководящая	3	4	Нет
23500	12	04.01.03	Оплата за образование	24	Муж	специальное	Нет	импортная	3	Нет	Нет	неруководящая	4	7	Да
23500	12	05.01.03	Оплата за образование	27	Жен	специальное	Нет	отечественная	4	Да	Нет	неруководящая	2	22	Да
39000	18	05.01.03	Покупка и ремонт недвижимости	70	Муж	специальное	Да	отечественная	4	Нет	Да	неруководящая	5	33	Нет
14500	12	05.01.03	Покупка и ремонт недвижимости	28	Муж	высшее	Да	импортная	3	Нет	Да	руководящая	3	21	Нет
24500	18	05.01.03	Покупка товара	24	Муж	специальное	Нет	отечественная	7	Нет	Да	неруководящая	6	20	Нет
16500	6	05.01.03	Покупка товара	48	Жен	высшее	Да	импортная	12	Да	Да	неруководящая	3	23	Да
4500	6	05.01.03	Покупка товара	20	Жен	специальное	Нет	отечественная	5	Нет	Да	неруководящая	4	12	Да
2000	6	05.01.03	Покупка и ремонт недвижимости	48	Жен	специальное	Нет	отечественная	9	Нет	Да	руководящая	4	26	Да
37000	18	05.01.03	Покупка товара	21	Жен	специальное	Да	Нет автомобиля	7	Нет	Да	неруководящая	3	13	Нет
15000	12	05.01.03	Оплата за образование	44	Муж	специальное	Да	отечественная	2	Нет	Нет	неруководящая	3	18	Нет
40500	24	05.01.03	Оплата услуг (мед., юрид. и т.п.)	70	Жен	среднее	Да	отечественная	7	Да	Да	руководящая	2	43	Нет
36000	24	05.01.03	Покупка товара	25	Жен	высшее	Нет	отечественная	10	Нет	Да	неруководящая	5	10	Нет
39500	12	05.01.03	Покупка товара	21	Муж	специальное	Нет	отечественная	4	Нет	Да	неруководящая	4	12	Нет
34500	30	05.01.03	Иное	47	Муж	высшее	Нет	Нет автомобиля	2	Нет	Да	неруководящая	5	22	Нет
50500	36	06.01.03	Покупка и ремонт недвижимости	19	Жен	специальное	Нет	отечественная	6	Нет	Нет	неруководящая	2	12	Нет
17500	12	06.01.03	Оплата за образование	20	Муж	специальное	Нет	отечественная	1	Нет	Да	руководящая	3	13	Нет
30000	18	06.01.03	Иное	25	Жен	высшее	Да	импортная	3	Да	Да	руководящая	6	20	Да
8000	6	06.01.03	Покупка товара	40	Муж	специальное	Да	отечественная	8	Нет	Нет	руководящая	5	29	Да
26500	18	06.01.03	Покупка и ремонт недвижимости	36	Жен	высшее	Да	отечественная	2	Да	Нет	неруководящая	4	19	Нет
3500	6	06.01.03	Иное	28	Муж	специальное	Да	Нет автомобиля	9	Нет	Да	неруководящая	4	9	Да
31000	18	06.01.03	Оплата за образование	27	Жен	специальное	Да	отечественная	6	Да	Нет	руководящая	3	11	Нет
40500	24	06.01.03	Покупка товара	40	Жен	специальное	Нет	импортная	3	Нет	Да	руководящая	3	20	Нет
38000	18	06.01.03	Покупка и ремонт недвижимости	27	Муж	специальное	Нет	Нет автомобиля	1	Нет	Да	руководящая	5	8	Нет
